Name of University	Location	website
Gujarat University	Ahmedabad	Click Here
Sardar Patel University	Vallabh Vidyanagar	Click Here
Veer Narmad South Gujarat University	Surat	Click Here
The Maharaja Sayajirao University (M.S.University)	Baroda	Click Here
Saurashtra University	Rajkot	Click Here
Bhavnagar University	Bhavnagar	Click Here
Hemchandracharya North Gujarat University (NGU)	Patan	Click Here
Krantiguru Shyamji Krishna Verma Kachchh University	Kachchh	Click Here
Dr. Babasaheb Ambedkar Open University (BAOU)	Ahmedabad	Click Here
Shree Somnath Sanskrit University	Veraval	Click Here
Children's University Gujarat	Gandhinagar	Click Here
Gujarat Forensic Sciences University (GFSU)	Gandhinagar	Click Here
Raksha Shakti University	Ahmedabad	Click Here
Kamdhenu University	Gandhinagar	Click Here
The Indian Institute of Teacher Education	-	Click Here
Gujarat Technological University	Ahmedabad	Click Here
Gujarat Ayurved University	Jamnagar	Click Here
Agricultural University's of Gujarat
Name of University	Location	website
Anand Agricultural University	Anand	Click Here
Navsari Agricultural University	Navsari	Click Here
Sardarkrushinagar Dantiwada Agricultural University	Dantiwada	Click Here
Junagadh Agricultural University	Junagadh	Click Here
Central Government University's
Name of University	Location	website
Gujarat Vidyapith	Ahmedabad	Click Here
Central University of Gujarat (CUG)	Gandhinagar	Click Here
Sumandeep Vidyapith (Deemed University)	Vadodara	Click Here
Private Aided University's
Name of University	Location	website
Dharamsinh Desai University (DDIT)	Nadiad	Click Here
Centre for Environmental Planning and Technology (CEPT University)	Ahmedabad	Click Here
Private University's
Name of University	Location	website
Nirama University (NU)	Ahmedabad	Click Here
Ganpat University	Mehsana	Click Here
Dhirubhai Ambani Institute of Information	Gandhinagar	Click Here
and Communication Technology (DA-IICT)		Click Here
Pandit Deendayal Petroleum University (PDPU)	Gandhinagar	Click Here
Kadi Sarva Vishwavidyalaya	Gandhinagar	Click Here
Calorx Teachers' University	Ahmedabad	Click Here
Charotar University of Science & Technology	Anand	Click Here
Navrachana University	Vadodara	Click Here
Amadavad University	Ahmedabad	Click Here
Auro University of Hospitality and Management.	Surat	Click Here
Uka Tarsadia University	Bardoli	Click Here
R.K.University	Rajkot	Click Here
Institute of Advanced Research	Gandhinagar	Click Here
Institute of National Importance
Name of University	Location	website
Indian Institute of Management, Ahmedabad(IIM-A)	Ahmedabad	Click Here
Indian Institute of Technology (IIT)	Gandhinagar	Click Here
Sardar Vallabhbhai National Institute of Technology,Surat (SVNIT)	Surat	Click Here
National Institute of Design,Ahmedabad (NID)	Ahmedabad	Click Here
Physical Research Laboratory (PRL)	Ahmedabad	Click Here
Entrepreneurship Development Institute of India		Click Here
