Division: Ahmedabad
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Ahmedabad	CBS	-	079 - 25463409
 	Ahmedabad	-	-	079 - 25463382
 	Ahmedabad	-	-	079 - 25463396
 	Ahmedabad	Bapunagar	-	079 - 22703883
 	Ahmedabad	Nehrunagar	-	9998953057
 	Ahmedabad	Ranip	-	079 - 27526877
2	Chandola	CBS	079 - 25321375	079 - 25460194
 	Chandola	Krishnanagar	-	079 - 29293353
3	Bareja	 	02718-282220	02718-282221
4	Sanand	 	02717-222145	02717-222049
5	Viramgam	Shankheshwar	02715-233230
02715-233233	02733-273336
6	Dholka	Magiya	02714-222592
02714-222576	02714-221707
7	Dhandhuka	 	02713-222304	02713-223045
8	Bavla	 	02714-232086	02714-232827
9	Dahegam	 	02716-2326010	02716-232337
10	Gandhinagar	 	079-23222703	079-23222842
Division: Surat
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Surat-1	 	0261-2543365	0261-2422006
2	Surat-2	 	0261-2550772	0261-2424972
3	Bardoli	 	02622-220033	02622-223733
Bardoli	Railway Station	 	02622-220188
Bardoli	Mahuva	 	02625-255740
Bardoli	Valod	 	02625-222056
4	Mandvi	 	02623-221022	02623-221060
Mandvi	Kadod	 	02622-246128
Mandvi	Madhi	 	02622-242079
5	Songadh	 	02624-222214	02624-222057
Songadh	Vyara	 	02626-220092
6	Olapad	 	02621-222034	02621-222034
Olapad	Adajan	 	0261-2268499
Olapad	Kathor	 	02621-256234
Division: Junagadh
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Junagadh	 	02852-635863	02825-630303
Junagadh	Visavadar	 	02873-222081
Junagadh	Mendarda	 	02872-241330
2	Porbandar	 	02862-242409	02862-240959
Porbandar	Kutiyana	 	02804-261333
Porbandar	Ranavav	 	02801-230714
3	Veraval	 	02876-220094	02876-221666
Veraval	Somnath	 	02876-221886
Veraval	Talala	 	02877-222352
4	Upleta	 	02826-220213	02826-221449
Upleta	Bhayavadar	 	02826-274480
5	Keshod	 	02871-236303	02871-236016
Keshod	Maliya Hatina	 	02870-222238
Keshod	Vanthali	 	02872-222084
6	Dhoraji	 	02824-220634	02824-221845
Dhoraji	Jamkandorna	 	02824-271478
7	Mangrol	 	02878-222121	02878-222093
Mangrol	Madhavpur	 	02878-272446
8	Bantwa	 	02874-241529	02874-241444
Bantwa	Manavadar	 	02874-221555
9	Jetpur	 	02832-227555	02832-220116
Jetpur	Bhesan	 	02873-253442
Division: Palanpur
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Palanpur	 	02742-252520	02742-252339
2	Ambaji	 	02749-264532	02749-262141
Ambaji	Danta	 	 
3	Deesa	 	02744-221742	02744-221600
Deesa	Dhanera	 	 
4	Siddhpur	 	02767-220056	02767-220314
5	Tharad	 	02737-223411	02737-222008
Tharad	Vav	 	 
6	Radhanpur	 	02746-277174	02746-275388
7	Deodar	 	02735-244469	02735-244453
Deodar	Bhabhar	 	 
Division: Bhavnagar
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Bhavnagar	 	0278-2423966	0278-2424147
Bhavnagar	Sinhor	 	02846-222174
Bhavnagar	Vallabhipur	 	02841-222465
2	Talaja	 	02842-222529	02842-222054
3	Mahuva	 	02844-222491	02844-222217
4	Palitana	 	02848-252250	02848-252168
5	Gariyadhar	 	02843-250059	02843-250055
Gariyadhar	Dhasha	 	02847-233044
6	Gadhada	 	02847-253657	02847-253556
7	Botad	 	02849-254334	02849-251420
8	Barawala	 	02711-237423	02711-237450
Division: Nadiad
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Nadiad	Old Bus stand	0268-2566413	0268-2566411
 	 	New Busstand	 	0268-2568965
2	Anand	Old Bus stand	02692-252333	-
 	 	New Busstand	 	02692-253293
3	Borasad	 	02696-221028	02696-220028
 	 	Vasad	 	02692-274205
4	Khambhat	 	02698-221746	02698-220242
 	 	Tarapur	 	02698-255627
5	Dakor	Old Bus stand	02699-244278	02699-244277
 	 	New Busstand	 	02699-245277
6	Dakor	Sevaliya	 	02699-233316
7	Dakor	Umreth	 	02692-276068
8	Balashinor	 	02690-266326	02690-266026
 	 	Veerpur	 	02690-278156
9	Kheda	 	02694-222039	02694-222034
 	 	Mehmdabad	 	02694-244137
10	Kapadvanj	 	02691-252091	02691-252816
 	 	Kathlal	 	02691-243476
11	Mahudha	 	0268-2572663	0268-2572526
12	Matar	 	02694-285608	02694-285536
13	Petlad	 	02697-224571	02697-224371
 	Petlad	Dharmaj	 	02697-244245
 	Petlad	Sojitra	 	02697-233255
Division: Amreli
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Amreli	 	02792-222031	02792-222158
Amreli	Babra	 	02791-222123
Amreli	Chalala	 	02797-251560
2	Savarkundla	 	02845-222637	02845-222626
3	Bagasara	 	02796-222077	02796-222061
4	Una	 	02875-221601	02875-221600
5	Dhari	 	02797-225045	02797-225040
6	Rajula	 	02794-222470	02794-222070
7	Kodinar	 	02795-221898	02795-221398
Division: Bharuch
Sr. No.	Depot	Control Point	Depot Manager	Enquiry No.
1	Bharuch	 	02642-243465	02642-260609
2	Jambusar	 	02644-220055	02644-220138
3	Ankleshwar	 	02646-246715	02646-247030
Ankleshwar	Hasot	 	02646-262052
Ankleshwar	G.I.D.C	 	02646-223190
