Route No.	Start	Destination
1	Lal Darwaja	Ratan Park
13	Lal Darwaja	Nigam Society
13/1	Isanpur	Ranip
13/1 Shuttle	Nigam Society	Lal Darwaja
14	Lal Darwaja	Devdi Gam
14/S	Lal Darwaja	Mahalaxmi Lake (Vatva)
14/1	Lal Darwaja	Vatva Railway Crossing
15	Vivekanand Nagar	Nava Wadaj
15/1	Maninagar Terminus	Vinobabhave Nagar
15/3	Maninagar Terminus	Vivekanand Nagar
16	Nigam Society	Chiloda Municipal Octroi Post
17	Nigam Society	Meghani Nagar
18	Kalupur	Punit Nagar
20	Maninagar Terminus	Civil Hospital
21/1	Lal Darwaja	Gyaspur
22	Tragad Gam	Indiranagar - II
22 Shuttle	Lal Darwaja	Indiranagar - II
23	Isanpur Gam	Jivandeep Circle
28	Meghani Nagar	Indiranagar - II
28 Shuttle	Sarangpur	Indiranagar - II
30/2	Sarkhej	Vatva Gam
30/3	Dani Limda Gam	Chandkheda
31	Meghani Nagar	Sarkhej Gam
31 Shuttle	Sarkhej Gam	Lal Darwaja
31/1	Sarkhej	Civil Hospital
31/2	Sarkhej Roja	Civil Hospital
31/3	Sarkhej Roja	Civil Hospital
31/4	Paldi	Bakrol Gam
32	Butbhavani Mata Mandir	Sahyadri Bunglows
33	Narayan Nagar	Manmohan Park
33/1	Vaishali Township	Meghani Nagar
34	Butbhavani Mata Mandir	Kalapi Nagar
34/3	Lal Darwaja	Makarba Gam
34/4 Shuttle	Lal Darwaja	Butbhavani Mata Mandir
34/4	Lal Darwaja	Butbhavani Mata Mandir
34/5	Butbhavani Mata Mandir	Kalapi Nagar
34/5 Shuttle	Butbhavani Mata Mandir	Kalapi Nagar
35	Lal Darwaja	Matoda Patiya
36	Sarangpur	Sarkhej Gam
36/1	Sarangpur	Sarkhej
37	Vasna Terminus	Manmohan Park
37 Shuttle	Vasna Terminus	Bapunagar
37/4	Kalupur	Butbhavani Mata Mandir
38	Juhapura	Meghani Nagar
38/1	Vasna Terminus	Krishna Nagar
39/3	Kalupur	Butbhavani Mata Mandir
40	Vasna Terminus	Lapkaman Gam
40/1	Iskon Mandir	Vinobabhave Nagar
40/3	Butbhavani Mata Mandir	Gayatri Mandir
42	Ghodasar	Judges Bunglow
42/1	Ghodasar Gam	Judges Bunglow
43	Lal Darwaja	Judges Bunglow
43/1	Lal Darwaja	Prahlad Nagar
44/1	Maninagar Terminus	Vaishnodevi Mandir
44/4	Lal Darwaja	Iskon Mandir
45	Lal Darwaja	Jodhpur Gam
45/1	Lal Darwaja	Mumatpura Gam
46	Kalupur	Kalupur
46/1	Kalupur	Kalupur
47	Kalupur	Kalupur
47/1	Kalupur	Kalupur
48	Kalupur	Prahlad Nagar
49	Adinath Nagar	Manipur Vad
49/1	Sarangpur	Jodhpur Gam
50	Meghani Nagar	Ghuma Gam
51	Lal Darwaja	Rancharda
52	Nigam Society	Thaltej
52 Shuttle	Thaltej	Lal Darwaja
52/2	Maninagar Terminus	Sattadhar Society
54 Shuttle	Maninagar Terminus	Adalaj
54	Vatva Railway Crossing	Vaishnodevi Mandir
54/1	Maninagar Terminus	Kashiba Hospital
56	Sitarambapa Chowk	Iskon Mandir
56/1	Bajrangdas Bapu Ashram	Gujarat University
58	Thaltej Gam	New Naroda
60	Lal Darwaja	Sindhu Bhavan
61	Maninagar Terminus	Gujarat High Court
63 Shuttle	Lal Darwaja	Ranna Park
63	Maninagar Terminus	Gujarat High Court
63/1	Lal Darwaja	Vaishnodevi Mandir
64 Shuttle	Lal Darwaja	Chanakyapuri
64	Lal Darwaja	Gujarat High Court
64/1	Lal Darwaja	Gujarat High Court
64/2	Lal Darwaja	Sattadhar Society
65	Lal Darwaja	Sola Gam
65/1	Lal Darwaja	Mangalmurti
65/2	Lal Darwaja	Khatraj Chokdi
65/3	Nigam Society	Santej
66	Prem Darwaja	Shilaj Gam
66/1	Kalupur Terminus	Shilaj Gam
66/3	Naroda Terminus	Khatraj Chokdi
66/4	Naroda Terminus	Khatraj Chokdi
67	Kalupur	Sattadhar Society
67/1	Kalupur	Sattadhar Society
69	Manmohan Park	SP Ring Road (Science City)
70	Wagheshwari Society	Naroda Terminus
70/1	Gujarat High Court	Meghani Nagar
71/1	Vatva Gam	Moti Bhoyan
